,Neighborhood,Population,Density,Average income,"Second language after English, %","Second language after English, name",Second language population
121,Port Union,12450,2310,48117,1.6,Filipino,199
122,Princess Gardens,9288,2249,80607,2.4,Korean,222
123,Regal Heights,2719,7155,36652,5.5,Spanish,149
124,Regent Park/Trefann Court,10387,16230,19521,10.5,Bengali,1090
125,Richview,26053,4002,34579,4.2,Italian,1094
126,Riverdale,31007,7771,40139,6.7,Cantonese,2077
127,Rockcliffe–Smythe,4681,4826,28723,8.2,Spanish,383
128,Roncesvalles,15996,8079,46820,4.4,Polish,703
129,Rosedale,7672,2821,213941,1.0,Chinese,76
130,Rouge,22724,791,29230,15.6,Tamil,3544
131,Rouge Hill,11167,2878,32858,2.4,Filipino,268
132,Runnymede,4382,5155,42635,2.2,Ukrainian,96
133,Scarborough Junction,25780,3479,25405,4.2,Tamil,1082
134,Scarborough City Centre,16403,6358,26756,10.3,Tamil,1689
135,Scarborough Village,12796,6303,24413,11.4,Tamil,1458
136,Seaton Village,5259,8482,41506,5.0,Portuguese,262
137,Silverthorn,17757,5045,26291,11.8,Portuguese,2095
138,Smithfield,34996,5426,24387,11.8,Punjabi,4129
139,South Hill,6218,4935,120453,1.0,French,62
140,St. James Town,14666,63765,22341,8.1,Filipino,1187
141,Steeles,24696,5464,26660,23.7,Cantonese,5852
142,Summerhill,5100,7846,88937,1.1,Chinese,56
143,Sunnylea,17602,3366,51398,5.2,Polish,915
144,Swansea,11133,2961,58681,3.0,Polish,333
145,Tam O'Shanter – Sullivan,27235,5006,27717,12.6,Chinese,3431
146,The Annex,15602,10614,63636,1.3,Spanish,202
147,The Beaches,20416,5719,67536,0.7,Cantonese,142
148,The Danforth,7849,9022,44979,7.4,Greek,580
149,The Elms,9437,3300,28014,6.1,Spanish,575
150,The Junction,11391,4827,34906,4.1,Portuguese,467
151,The Kingsway,8780,3403,110944,1.8,Ukrainian,158
152,The Queensway,6207,2369,38944,4.1,Italian,254
153,Thistletown,16790,4229,28955,8.6,Punjabi,1443
154,Thorncliffe Park,17949,5809,25340,21.5,Urdu,3859
156,Trinity–Bellwoods,8687,9442,31106,13.6,Portuguese,1181
157,Upper Beaches,19830,6791,44346,0.7,Cantonese,138
158,Victoria Village,17047,3612,29657,3.2,Urdu,545
